"","actor","text","season","episode","title"
"28","Barney","Lesson two, get a suit. Suits are cool. (Points to self with bear bottle in hand) Exhibit A. (Flirts to a woman unseen) Lesson three, don't even think about getting married till you're... thirty.","01","01","Pilot"
"29","Ted","Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.","01","01","Pilot"
"30","Barney","I thought I was your best friend. Ted, say I'm your best friend.","01","01","Pilot"
"31","Ted","You're my best friend, Barney.","01","01","Pilot"
"32","Barney","Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?""","01","01","Pilot"
"33","Ted","Wai-no, no, no. We're not playing ""Have You Met Ted?""","01","01","Pilot"
"34","Barney","(Taps a woman names Yasmine) Hi, have you met Ted? (Leaves and watches from a distance).","01","01","Pilot"
"35","Ted","(To Yasmine) Hi, I'm Ted.","01","01","Pilot"
"36","Yasmine","Yasmine.","01","01","Pilot"
"37","Ted","It's a very pretty name.","01","01","Pilot"
"38","Yasmine","Thanks, It's Lebanese.","01","01","Pilot"
"39","Marshall","Hey!","01","01","Pilot"
"40","Lily","Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy (takes coat off revealing a purple hand print on her right breast) got to second base with me. Wow, you're cooking?","01","01","Pilot"
"41","Marshall","Yes, I am.","01","01","Pilot"
"42","Lily","Aww-(They kiss) Are you sure that's a good idea after last time? You looked really creepy without eyebrows.","01","01","Pilot"
"43","Marshall","I can handle this; I'm full of surprises tonight.","01","01","Pilot"
"44","Lily","So there's more surprises? Like what?","01","01","Pilot"
"45","Narrator","Marshall was in his second year of law school, so he was pretty good at thinking on his feet.","01","01","Pilot"
"46","Marshall","BOOGITY BOO! And that's all of them! I'm goanna go... cook. (Leaves)","01","01","Pilot"
"47","Ted","I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.","01","01","Pilot"
"48","Yasmine","So do you think you'll ever get married?","01","01","Pilot"
"49","Ted","Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged? (Yasmine laughs) Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?","01","01","Pilot"
"50","Yasmine","Actually, I think it's cute.","01","01","Pilot"
"51","Ted","Well, you're clearly drunk (pulls her wine glass away. Hold up glass to bartender) ONE MORE FOR THE LADY!","01","01","Pilot"
"52","Marshall","Okay, look what I got (runs to the fridge. Takes out wine bottle)","01","01","Pilot"
"53","Lily","Aw-honey. Champagne! (hands it to Marshall)","01","01","Pilot"
"54","Marshall","(after short silence) Yeah. (hands it back)","01","01","Pilot"
"55","Lily","(realizing) No, you are too old to be scared to open a bottle of champagne!","01","01","Pilot"
"56","Marshall","I'm not scared.","01","01","Pilot"
"57","Lily","Then open it!","01","01","Pilot"
"58","Marshall","Fine (takes bottle. Looks at it for a couple of seconds) Please open it (hands it to Lily)","01","01","Pilot"
"59","Lily","You are unbelievable, Marshall. No-(Scene splits in half and shows both Lily and Marshall on top arguing and Ted and Yasmine on the bottom mingling)","01","01","Pilot"
"60","Narrator","There are two big questions a man has to ask in life. One you plan out for months, the other just slips out when you're half drunk at some bar.","01","01","Pilot"
"61","Marshall","(To Lily) will you marry me?","01","01","Pilot"
"62","Ted","(To Yasmine) you wanna go out sometime?","01","01","Pilot"
"63","Lily","Of course, you idiot! (hugs him and they fall back)","01","01","Pilot"
"64","Yasmine","I'm sorry; Carl's my boyfriend (points to bartender)","01","01","Pilot"
"65","Ted","Sup, Carl?","01","01","Pilot"
"66","Marshall","I promised Ted we wouldn't do that.","01","01","Pilot"
"67","Lily","Did you know there's a pop tart under your fridge?","01","01","Pilot"
"68","Marshall","No, but dibs. Where's that champagne? I wanna drink a toast with my fiancé.","01","01","Pilot"
"69","Lily","aww (claps. They kiss)","01","01","Pilot"
"70","Marshall","I don't know why I was so scared of this. Pretty easy right? (Pops cork, hit's Lily's eye)","01","01","Pilot"
"71","Lily","(YELLS)","01","01","Pilot"
"72","Marshall","(covers mouth) OH!","01","01","Pilot"
"73","Ted","Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.","01","01","Pilot"
"74","Barney","(ignoring) how does Carl land a Lebanese girl?","01","01","Pilot"
"75","Ted","It's always been ""don't even think about it till you're thirty""","01","01","Pilot"
"76","Barney","Exactly-the guy doesn't even own a suit!","01","01","Pilot"
"77","Ted","Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, ""Okay, I'm ready! Where is she?"" (Spots Robin)","01","01","Pilot"
"78","Narrator","and there she was.","01","01","Pilot"
"79","Narrator","It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, ""see that girl? I'm going to marry her someday""","01","01","Pilot"
"80","Ted","Hey Barney, see that girl?","01","01","Pilot"
"81","Barney","(to Robin) Hey, have you met Ted?","01","01","Pilot"
"82","Robin","Let me guess, (points) Ted?","01","01","Pilot"
"83","Marshall","I'm sorry, Lily. I'm so sorry. Take us to the hospital.","01","01","Pilot"
"84","Cabdriver","Whoa, whoa, whoa-did you hit her?","01","01","Pilot"
"85","Lily","Hit me? Please, this guy could barely even spank me in bed for fun. He's all like, (hits ice in bag using to cover eye) ""Oh, did that hurt?"" and I'm like, ""Come on, let me have it you pansy!"" (realizes) Wow, complete stranger.","01","01","Pilot"
"86","Cabdriver","no, no, no, no-it's okay, go on. (Turns meter on.) So these, spankin's...you in pajamas or going ""naturelle""","01","01","Pilot"
"87","Ted","So what do you do?","01","01","Pilot"
"88","Robin","I'm a reporter for Metro News 1.","01","01","Pilot"
"89","Ted","(nods) Oh.","01","01","Pilot"
"90","Robin","Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon.","01","01","Pilot"
"91","Ted","Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty. (Robin laughs and waves to her friends) Oh, your friends don't seem too happy.","01","01","Pilot"
"92","Robin","Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... ""The enemy"".","01","01","Pilot"
"93","Ted","You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.","01","01","Pilot"
"94","Robin","She would love that! It does look fun in the movies.","01","01","Pilot"
"95","Ted","Hey, you wanna have dinner with me Saturday night?","01","01","Pilot"
"96","Robin","Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big (cut) so my news is covering it.","01","01","Pilot"
"97","Ted","That's going to take a week?","01","01","Pilot"
"98","Robin","Yeah, he's going to eat it too, it's another record.","01","01","Pilot"
"99","Robin's Dumped Friend","Hey, what's taking so long?","01","01","Pilot"
"100","Ted","Uh, I know this is a long shot, but how about tomorrow night?","01","01","Pilot"
"101","Robin","(stops) Yeah, (agrees) What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun.","01","01","Pilot"
"102","Barney","(comes back laughing) De-wait for it-nied! Denied!","01","01","Pilot"
"103","Ted","We're going out tomorrow night.","01","01","Pilot"
"104","Barney","I thought we were playing laser tag tomorrow night?","01","01","Pilot"
"105","Ted","Yeah, I was never going to go play laser tag. (Wipes alcohol off his face)","01","01","Pilot"
"106","Narrator","The next night, I took her out to this little bistro in Brooklyn.","01","01","Pilot"
"107","Robin","Wow that is one bad-ass blue French horn.","01","01","Pilot"
"108","Ted","Yeah.","01","01","Pilot"
"109","Robin","Mhmm.","01","01","Pilot"
"110","Ted","Sort of looks like a... Smurf pen1s.","01","01","Pilot"
"111","Narrator","Son, a piece of advice. When you go on a first date you really don't wanna say ""smurf pen1s"". Girls don't ordinarily like that.","01","01","Pilot"
"112","Narrator","But that was no ordinary girl.","01","01","Pilot"
"113","Marshall","Lilly?","01","01","Pilot"
"114","Lily","How long have you been sitting there!? Stupid eye patch.","01","01","Pilot"
"115","Ted","Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman?","01","01","Pilot"
"116","Marshall","Oh let's see (thinks) she likes dogs?","01","01","Pilot"
"117","Robin","I've got five dogs.","01","01","Pilot"
"118","Marshall","...she drinks scotch?","01","01","Pilot"
"119","Robin","I love a scotch that's old enough to order its own scotch.","01","01","Pilot"
"120","Marshall","Can quote obscure lines from ""Ghostbusters""?","01","01","Pilot"
"121","Robin","Ray, when someone asks you if you're a god you say, ""Yes!""","01","01","Pilot"
"122","Ted","And I'm saving the best for last.","01","01","Pilot"
"123","Robin","Do you want these? (Holding up remaining olives from her plate) I hate olives.","01","01","Pilot"
"124","Marshall","She hates olives! Awesome!","01","01","Pilot"
"125","Lily","The olive theory.","01","01","Pilot"
"126","Ted","The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance (eats olive).","01","01","Pilot"
"127","Robin","You know, I've had a jar of olives just sitting in my fridge forever.","01","01","Pilot"
"128","Ted","(flirting) I can take them off your hands.","01","01","Pilot"
"129","Robin","(flirting back) they're all yours.","01","01","Pilot"
"130","Marshall","Oh, it is on! It is on (imitates robot) till the break of dawn.","01","01","Pilot"
"131","Lily","wait, it's only the break of ten-thirty. What happened?","01","01","Pilot"
"132","Robin","I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French.","01","01","Pilot"
"133","Ted","No Green Clarinet?","01","01","Pilot"
"134","Robin","No.","01","01","Pilot"
"135","Ted","Come on, no purple tuba?","01","01","Pilot"
"136","Robin","It's a smurf pen1s, we're no dice.","01","01","Pilot"
"137","Producer","(from inside van) there you are! We've got a jumper! Some crazy guy on the Manhattan Bridge. Come on, you're covering it!","01","01","Pilot"
"138","Robin","Um, alright. I'll be right there. (To Ted) I'm sorry. I had a really great time tonight.","01","01","Pilot"
"139","Ted","Yeah.","01","01","Pilot"
"140","Marshall","So? Did you kiss her?","01","01","Pilot"
"141","Ted","No. The moment wasn't right. (They sigh) Look, this woman could be my future wife; I want our first kiss to be amazing.","01","01","Pilot"
"142","Lily","Aww, Ted that's so sweet. So you chickened out like the little bitch.","01","01","Pilot"
"143","Ted","What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.","01","01","Pilot"
"144","Lily","Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.","01","01","Pilot"
"145","Barney","(Phone) Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I killed you Connor; don't make me get your mom!","01","01","Pilot"
"146","Ted","Hey, listen. I need your opinion on something.","01","01","Pilot"
"147","Barney","Okay, meet me at the bar in fifteen minutes-AND SUIT UP!","01","01","Pilot"
"148","Ted","So these guys think I chickened out. What do you think?","01","01","Pilot"
"149","Barney","I can't believe you're still not wearing a SUIT!","01","01","Pilot"
"150","Ted","She didn't even give me the signal.","01","01","Pilot"
"151","Barney","What is she goanna-is she goanna bat her eyes at you in Morse code (bats eyes)?? Ted (bats eyes) Kiss me-No, you just kiss her!","01","01","Pilot"
"152","Ted","Not if you don't get the signal.","01","01","Pilot"
"153","Barney","Ee-(Kisses Marshal) Did Marshall give me the signal?","01","01","Pilot"
"154","Marshall","No! (To Lily) I didn't, I swear.","01","01","Pilot"
"155","Barney","But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.","01","01","Pilot"
"156","Ted","Urgh, I should've kissed her. What about when she gets back from Orlando?","01","01","Pilot"
"157","Barney","A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words  you will never see that one again.","01","01","Pilot"
"158","Ted","There she is...","01","01","Pilot"
"159","Lily","Ooo. She's cute! (To Carl) Hey Carl, turn it up!","01","01","Pilot"
"160","Robin","(on TV)...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from","01","01","Pilot"
"161","Marshall","Huh, guy didn't jump","01","01","Pilot"
"162","Robin","(on TV) Metro One News, back to you bill.","01","01","Pilot"
"163","Ted","I'm goanna go kiss her. Right now.","01","01","Pilot"
"164","Marshall","Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you  that's freakin' crazy!","01","01","Pilot"
"165","Ted","I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.","01","01","Pilot"
"166","Barney","Actually, that is a perfect metaphor. By the way, did I congratulate you two? (Raises glass to Lily and Marshall)","01","01","Pilot"
"167","Ted","I'm doing this. (Starts to leave)","01","01","Pilot"
"168","Lily","Let's go (pulls Marshall up)","01","01","Pilot"
"169","Marshall","Word up!","01","01","Pilot"
"170","Lily","We're coming with you.","01","01","Pilot"
"171","Ted","...Barney?","01","01","Pilot"
"172","Barney","Alright, but under one condition.","01","01","Pilot"
"173","Barney","(happy) look at you, you beautiful b*st*rd, you suited up! This is totally going in my blog!","01","01","Pilot"
"174","Ted","(To Ranjit-Cabdriver) Stop the car. Uh-pull over right here. I gotta do something.","01","01","Pilot"
"175","Ted","Excuse me, pardon me. (grabs the Blue French Horn) Enjoy your coffee. (Runs away)","01","01","Pilot"
"176","Waitor","Hey, HEY!","01","01","Pilot"
"177","Ted","go, go, GO! (looks to his friends. Shrugs) Everybody brings flowers.","01","01","Pilot"
"178","Ted","(Exhales) Okay. Moment of truth. Wish me luck. (Exhales)","01","01","Pilot"
"179","Barney","Ted's goanna get it on with a TV reporter (nods. Laughs.) This just in. Okay (holds hand up for high-fives)","01","01","Pilot"
"180","Lily","Kiss her, Ted. Kiss her good.","01","01","Pilot"
"181","Marshall","Kiss the crap out of that girl","01","01","Pilot"
"182","Ted","Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. (exits cab)","01","01","Pilot"
"183","Barney","Why does he get to be the best man? (Shouts out) I'M YOUR BEST FRIEND!","01","01","Pilot"
"184","Narrator","As I walked up to that door a million thoughts raced through my mind. Unfortunately, one particular thought did not.","01","01","Pilot"
"185","Robin","I've got five dogs.","01","01","Pilot"
"186","Ted","Not good, not good, not good, not good.","01","01","Pilot"
"187","Lily","No!","01","01","Pilot"
"188","Marshall","Go back in there!","01","01","Pilot"
"189","Barney","You're wearing a suit!","01","01","Pilot"
"190","Robin","(from window) Ted?","01","01","Pilot"
"191","Ted","Hi! (Silence) I was just uh-(hold up Smurf pen1s, aka French Horn)","01","01","Pilot"
"192","Robin","Come on up.","01","01","Pilot"
"193","Marshall","He's in.","01","01","Pilot"
"194","Barney","So, (looks to the cabdriver) Ranjit... you must've done it with a Lebanese girl.","01","01","Pilot"
"195","Lily","Okay-that's my Barney Limit. (Starts to leave the cab) I'm goanna see if that Bodega has a bathroom. (Leaves)","01","01","Pilot"
"196","Ranjit","Actually, I'm from Bangladesh.","01","01","Pilot"
"197","Barney","The women hot there?","01","01","Pilot"
"198","Ranjit","Here's a picture of my wife! (Shows picture)","01","01","Pilot"
"199","Barney","(Whispers to Marshall) Simple no would have sufficed. (To Ranjit) She's lovely.","01","01","Pilot"
"200","Robin","So, Ted. What brings you back to Brooklyn at one in the morning in a-suit.","01","01","Pilot"
"201","Ted","I was just hoping to get those olives... that you said I could have.","01","01","Pilot"
"202","Robin","Would you like those olives with some Gin and Vermouth?","01","01","Pilot"
"203","Ted","Are you trying to get me drunk?","01","01","Pilot"
"204","Robin","For starters (turns music on. Leaves to the kitchen)","01","01","Pilot"
"205","Ted","(Looks up and mouths) Thank you.","01","01","Pilot"
"206","Barney","So, Marshall. This ""Olive Theory"" based on you and Lily?","01","01","Pilot"
"207","Marshall","Yeah...","01","01","Pilot"
"208","Barney","You hate olives? Lily loves them, you can't stand them.","01","01","Pilot"
"209","Marshall","Yeah, hate olives.","01","01","Pilot"
"210","Barney","Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?","01","01","Pilot"
"211","Marshall","(looks around for sign of Lily) You have to swear that this does not leave this cab.","01","01","Pilot"
"212","Barney","I swear.","01","01","Pilot"
"213","Ranjit","(Cuts into conversation) I swear.","01","01","Pilot"
"214","Marshall","On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, ""Sure... I hate olives.""","01","01","Pilot"
"215","Barney","But you like olives!","01","01","Pilot"
"216","Marshall","Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.","01","01","Pilot"
"217","Barney","Marshall, I'm going to get you an early wedding present. Don't get married.","01","01","Pilot"
"218","Robin","I think I like your ""Olive Theory"".","01","01","Pilot"
"219","Ted","I think I like your French Horn.","01","01","Pilot"
"220","Robin","I think I like your nose.","01","01","Pilot"
"221","Ted","I think I'm in love with you.","01","01","Pilot"
"222","Lily, Marshall and Barney","What?","01","01","Pilot"
"223","Son and Daughter","What?","01","01","Pilot"
"224","Robin","What?","01","01","Pilot"
"225","Barney","Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it.","01","01","Pilot"
"226","Marshall","Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women (Lily appears behind Marshall in the open window) doesn't scare me at all. I'm marrying that girl. (Lily pops her head in from the window. Marshall turns around) Lily. Lily, I like olives.","01","01","Pilot"
"227","Lily","We'll make it work. (They kiss.)","01","01","Pilot"
"228","Ranjit","aww.","01","01","Pilot"
"229","Ted","So Orlando, you goanna hit Disney World?","01","01","Pilot"
"230","Robin","You love me?","01","01","Pilot"
"231","Ted","Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go. (Gets up)","01","01","Pilot"
"232","Robin","Hold on. (Gets up) Wait a minute. (Hands him Olives) Promised you these.","01","01","Pilot"
"233","Ted","Olives. Thanks. I love you. What's wrong with me?","01","01","Pilot"
"234","Barney","Why are we still sitting here? Let's go! We can still make last call. What do you say Lil? (Pirate Accent) Yo, ho ho and a bottle o' rum? (Silence) 'Cuz you're a pirate...","01","01","Pilot"
"235","Lily","Okay, eye patch gone-(takes eye patch off and throws it at Barney) And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.","01","01","Pilot"
"236","Marshall","It's been like twenty minutes. You think they're doin' it?","01","01","Pilot"
"237","Barney","You think they're doing it in front of the dogs?","01","01","Pilot"
"238","Marshall","Doggie style. (Laughs)","01","01","Pilot"
"239","Barney","I had this girl in college; she had a golden retriever-","01","01","Pilot"
"240","Lily","Okay, we can go to the bar, just stop talking.","01","01","Pilot"
"241","Barney","Hit it Ranjit. (They drive off)","01","01","Pilot"
"242","Ted","So when you tell this story to your friends, could you avoid the word ""psycho""? I prefer...eccentric.","01","01","Pilot"
"243","Robin","Good night, psycho (smiles). (Ted sarcastically clutches heart. Realizes friends left him)","01","01","Pilot"
"244","Ted","Great (before Robin closes the door) Umm... how do I get to the F Train?","01","01","Pilot"
"245","Robin","Oh, um-two blocks (comes out) that way (points) and take a right.","01","01","Pilot"
"246","Ted","(upset/tired) Thanks. (Walks down the steps. Robin begins to walk in) You know what? (Robin stops. Ted turns around). I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser.","01","01","Pilot"
"247","Robin","Everyone thinks they're a good kisser.","01","01","Pilot"
"248","Ted","Oh, I've got references.","01","01","Pilot"
"249","Robin","Good night, Ted. (Shake hands.)","01","01","Pilot"
"250","Ted","And I'm a good hand shaker","01","01","Pilot"
"251","Robin","that's a pretty great hand shake. (Looks him in the eyes)","01","01","Pilot"
"252","Ted","And that was it, probably never see her again. (Silence) What?","01","01","Pilot"
"253","Marshall","That was the signal!","01","01","Pilot"
"254","Lily","That long lingering handshake-you should've kissed her!","01","01","Pilot"
"255","Barney","There's no such thing as the signal. But yeah-that was the signal.","01","01","Pilot"
"256","Rangit","Signal (nods)","01","01","Pilot"
"257","Marshal","Ah, Carl thank you. Something I gotta do.","01","01","Pilot"
"258","Carl","By the way, you should've kissed her.","01","01","Pilot"
"259","Ted","Carl!? (turns to friends) You guys weren't there.","01","01","Pilot"
"260","Lily","I am so turned on right now.","01","01","Pilot"
"261","Ted","Guys, trust me. I've seen the signal. That was not the signal.","01","01","Pilot"
"262","Barney","Yeah Ted, we're not on you anymore.","01","01","Pilot"
"263","Marshall","(Toasting) To my fiancé!","01","01","Pilot"
"264","Lily","(smiles) to the future!","01","01","Pilot"
"265","Ranjit","To one hell of a night!","01","01","Pilot"
"266","Ted","That was not the signal!","01","01","Pilot"
"267","Narrator","I asked her about it years later, and yeah, that was the signal. I could've kissed her. But that's the funny thing about destiny.","01","01","Pilot"
"268","Narrator","... it happens whether you plan it or not. I mean I...","01","01","Pilot"
"269","Narrator","... never thought I'd see that girl again. But it...","01","01","Pilot"
"270","Narrator","...turns out, I was just too close...","01","01","Pilot"
"271","Narrator","...to the puzzle to see the picture that was forming. Because that kids...","01","01","Pilot"
"272","Narrator","...is the true story, of how I met your Aunt Robin.","01","01","Pilot"
"273","Son","Aunt Robin?","01","01","Pilot"
"274","Daughter","I thought this was about how you met mom!","01","01","Pilot"
"275","Narrator","Will you relax? I'm getting to it. (Son and daughter sit back unpleased) like I said","01","01","Pilot"
"276","Narrator","...it's a long story.","01","01","Pilot"
"277","Narrator","Okay, where was I?","01","02","Purple Giraffe"
"278","Daughter","You were telling us how you met mom.","01","02","Purple Giraffe"
"279","Son","In excruciating detail...","01","02","Purple Giraffe"
"280","Narrator","Right, so (While Flashbacks take place) back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, ""Maybe I should get married."" Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in.","01","02","Purple Giraffe"
"281","Barney","I suggest we play a little game I like to call, ""Have you Met Ted?""","01","02","Purple Giraffe"
"282","Ted","No, no, no-we're not playing ""Have you Met Ted!""","01","02","Purple Giraffe"
"283","Barney","(Taps Robin's shoulder) Hi! Have you met Ted? (Leaves)","01","02","Purple Giraffe"
"284","Narrator","So I asked her out, and I know this sounds crazy... but after just one date, I was in love with her, which made me say something stupid","01","02","Purple Giraffe"
"285","Ted","I think I'm in love with you.","01","02","Purple Giraffe"
"286","Robin","What?","01","02","Purple Giraffe"
"287","Daughter","Oh, Dad.","01","02","Purple Giraffe"
"288","Son","So then what happened?","01","02","Purple Giraffe"
"289","Narrator","Nothing. I mean, I made a complete fool of myself. So... a week went by and I decided not to call her.","01","02","Purple Giraffe"
"290","Marshall","So you're not goanna call her? You went from, ""I think I'm in love with you"" to ""I'm not gonna call her?""","01","02","Purple Giraffe"
"291","Ted","I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin. (Finds Lily and Robin chatting at a table.) Robin!","01","02","Purple Giraffe"
"292","Robin","Hey!","01","02","Purple Giraffe"
"293","Lily","Look who I ran into!","01","02","Purple Giraffe"
"294","Ted","Since when do you guys know each other?","01","02","Purple Giraffe"
"295","Robin","Uh... since about (points to glass) here. Lily recognized me from the news and-(Lily and Marshall kiss) Hello, Sailor!","01","02","Purple Giraffe"
"296","Ted","They just got engaged.","01","02","Purple Giraffe"
"297","Robin","Well, I should get back to the station. See you guys. (Marshall raises a hand while still kissing Lily) Nice seeing you, Ted.","01","02","Purple Giraffe"
"298","Ted","Yeah, you too. (Robin leaves, Barney walks closer) Damn it.","01","02","Purple Giraffe"
"299","Lily","What?","01","02","Purple Giraffe"
"300","Ted","I'm in love with her.","01","02","Purple Giraffe"
"301","Barney","(hits him) No! As your sponsor I will not let you relapse. You blew it; it's over-move on.","01","02","Purple Giraffe"
"302","Ted","I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.","01","02","Purple Giraffe"
"303","Ted","Lily, you squeaked?","01","02","Purple Giraffe"
"304","Ted","She said something about me didn't she? Come on, spill it, Red.","01","02","Purple Giraffe"
"305","Lily","Fine!","01","02","Purple Giraffe"
"306","Lily","So what do we think of Ted?","01","02","Purple Giraffe"
"307","Robin","(laughs) Ted's something else.","01","02","Purple Giraffe"
"308","Ted","Huh... I'm gonna spin that as good. Lots of guys are ""something"", I'm ""something else"".","01","02","Purple Giraffe"
"309","Robin","Comes on a little strong.","01","02","Purple Giraffe"
"310","Ted","But...that's part of my charm.","01","02","Purple Giraffe"
"311","Lily","But that's part of his charm.","01","02","Purple Giraffe"
"312","Robin","Oh, totally. I mean, he's sweet, he's charming, he's just looking for something a little bit more serious than I am. I mean the most I can handle right now is something casual. This just stays between us, right?","01","02","Purple Giraffe"
"313","Lily","Are you kidding? This flapper-for knocks.","01","02","Purple Giraffe"
"314","Lily","(shy) Oops...","01","02","Purple Giraffe"
"315","Ted","She wants casual. Okay, I'll be casual. I'm gonna be a mushroom cloud of casual. You know why? Cause it's a game! I wanted to skip to the end and do the ""happily ever after"" thing but you don't get there unless you play the game.","01","02","Purple Giraffe"
"316","Marshall","So're you gonna ask her out?","01","02","Purple Giraffe"
"317","Ted","Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out? (thinks)","01","02","Purple Giraffe"
"318","Lily","Did you guys get high?","01","02","Purple Giraffe"
"319","Ted","I got it! I don't ask her out... I invite her to our party next Friday.","01","02","Purple Giraffe"
